draw,capex_mult,delay_years,price_mult,gas_mult,eua_mult,cf_adj,wacc_adj,fom_mult,npv_S1a_smr_cfd,lcoe_S1a_smr_cfd,irr_S1a_smr_cfd,npv_S2_smr_dynamic,lcoe_S2_smr_dynamic,irr_S2_smr_dynamic,npv_S3a_gas_ccgt,lcoe_S3a_gas_ccgt,irr_S3a_gas_ccgt,npv_S3b_gas_ocgt,lcoe_S3b_gas_ocgt,irr_S3b_gas_ocgt
23,0.8339595894633717,2.4161052793875615,0.8811844403184534,1.0161369339244675,1.0204438138642404,-0.023229013160564787,0.00654515646697439,1.0726107568954857,-162.82934019525032,504.50504316618765,0.05546313262933254,-5805.971759065097,654.4362611875882,0.02025269201817149,-1892.5676680178442,1621.7338478865004,,-1056.107530834204,2642.461183807449,
24,1.180758593204751,0.8149209294904945,0.9942940983511487,1.0386310880174872,1.0228490569875932,-0.02426042481496718,0.0024034557672121537,1.024821301217612,-2519.5117989231594,582.5027036497451,0.04027672869168201,-8201.473114378603,765.8160380007421,0.01744742363734816,-1987.4832027242837,1119.6936579546891,,-1135.6033458304755,2163.9070570582458,
25,0.9780933449600501,1.2242859121941294,0.9628397210889159,1.261319002781899,0.8022514701656915,-0.0017008884027126941,0.0005171798151615212,0.9883754236590355,226.07063954565677,492.42542880791865,0.051717487121077675,-6132.086711420622,641.6984868695569,0.0243999758186855,-1914.353209886902,1275.3192627610397,,-1066.3896293658331,2283.6672639198778,
26,1.1677825137860713,0.3154249570663986,1.043839874051097,1.2673013334474907,1.0260152737924362,-0.013599745755343617,0.00440533989600384,0.8706181986440626,-1965.6120254559228,565.5816883660568,0.044795771895482644,-7505.106494850222,736.190088564232,0.024600584531527716,-2015.3891007032141,1461.6153971514495,,-1129.3897103149213,2559.2256202446256,
27,1.0709143240682066,0.9602232713653314,1.1142670757404347,1.0397251818368283,1.089454108489524,-0.033345584197109264,-0.008578041602665103,1.0920638837264356,732.5917476578979,485.5119341706978,0.04453090822123191,-5527.442308041478,638.9220030014413,0.0282280769509402,-1573.1540410164603,867.6418427887178,,-973.0017180456241,1683.2829424606716,
28,1.2892523686943809,1.3501742778243027,0.9086353651519409,1.0315604607337558,0.7781387785072098,0.014820141581917079,0.01008482347622023,1.0862661218990952,-4461.266828105945,660.1391980578451,0.03740571077263486,-10023.770104077832,864.1432057084066,0.009349852357714013,-2085.6602436824587,1029.405005266486,,-1201.1603310859937,2074.0163791058076,
29,1.0289173037787578,1.5585219546715894,0.9623315936652995,1.0418243326195815,0.8805810497642171,0.0018270092077189992,0.002929182415621805,1.1484288522198653,-1244.272293827133,542.0412228260661,0.04625401733943028,-6918.904555751747,711.0029400144772,0.019786457836195745,-1843.3004599441404,975.8896333570593,,-1066.9985864628836,1928.5582359821672,
30,0.9000957368454747,1.5840001797289356,0.9719390792839471,0.993366649756381,1.2080181573313906,-0.03424376727069593,0.0007638786361576638,1.1326588498522343,-65.71391629854219,502.33536391328346,0.05038760383405265,-5722.897761467488,655.3476184732704,0.02348459836495547,-1916.360731416203,1453.1230438190023,,-1073.8883466929358,2488.238403920329,
31,1.2587617188979248,2.463775163174834,0.9062472720316511,0.9809388644239065,1.1179861690206405,-0.02450422507985994,-0.007312041090852641,1.0127967604296664,-1753.018878431464,541.1779503167866,0.03561191825525951,-9173.59633766513,730.1888859431765,0.008454483998061408,-2312.3768867134113,1658.699463115399,,-1275.0999023348857,2735.89407534402,
32,0.9063727597169347,1.0570500153819347,1.1520605009946907,1.3204613216321448,1.123233125435192,-0.028019154081003916,-0.004928106779210492,1.2329380700734853,1350.7520182294047,469.48559296443176,0.051871009578241756,-4021.1988784887367,606.0349180061656,0.03657491130249719,-1777.3473245650632,1216.7799710223032,,-1013.5679578188194,2237.6357088005134,
