name,net_mw,overnight_mpln,capex_total_mpln,wacc_real,npv_project_posttax_mpln,npv_project_pretax_mpln,npv_at_common_rate_mpln,irr_project_posttax,irr_project_pretax,lcoe_pln_per_mwh,lcoe_ex_co2_pln_per_mwh,lcoe_capex_component,lcoe_post_tax_pln_per_mwh,levelised_revenue_pln_per_mwh,energy_twh_life,avg_capacity_factor,avg_capture_price,cfd_payments_total_mpln,cfd_payments_pv_mpln,co2_mt_life,local_revenue_total_mpln,local_revenue_avg_op_year_mpln,local_property_tax_host_avg_mpln,state_cit_total_mpln,state_eua_total_mpln,payback_year,equity_irr,min_dscr,strike_pln,fixed_price_pln,scenario,case,required_premium_pln_per_mwh,required_capacity_payment_pln_per_kw_yr,required_capacity_payment_15yr_pln_per_kw_yr
SMR dynamic (50–100 %),285.0,7980.0,8790.0,0.07,-1279.0635380793638,-675.0292090808134,-1279.0635380793638,0.058112285456568324,0.06414000315558514,427.07580177727397,427.07580177727397,303.82845147570316,450.1466125792768,401.29337448651245,137.30414647499998,0.916607562785388,396.6626265334604,0.0,0.0,0.0,2469.114432915199,40.99305516979877,6.384000000000001,5549.507508029468,0.0,2049.0,,,,,S2_smr_dynamic,smr-low/market-central,59.469471744393815,476.59240263673723,734.6322189455401
SMR merchant baseload,285.0,7980.0,8790.0,0.07,-1351.4925874734763,-760.0400744971012,-1351.4925874734763,0.057414240644245156,0.06338764769428212,413.29377180194894,413.29377180194894,292.81533402677803,435.0651786310482,385.31664548114793,142.54498439999998,0.9515940639269406,380.6035768999906,0.0,0.0,0.0,2444.8478513799473,40.58861214421124,6.384000000000001,5467.174463534863,0.0,2049.0,,,,,S1c_smr_merchant_baseload,smr-low/market-central,60.458852274043615,502.7567774062701,774.9626828554216
SMR CfD,285.0,7980.0,8790.0,0.05,5724.845943823841,7793.796633107965,1973.2392438041443,0.08728236177949683,0.09720968272401244,335.6664172004549,335.6664172004549,213.99863366368416,389.82346423586677,539.6775678913926,139.57240305000002,0.9317498668188737,525.4861722345505,-824.7691594870521,-115.4605518328511,0.0,3561.7523255586266,59.203686713855895,6.384000000000001,9256.671786641096,0.0,2044.0,,,,,S1a_smr_cfd,smr-low/market-high,-183.92912640140733,-1507.3202307805927,-2748.886422894397
SMR dynamic (50–100 %),285.0,7980.0,8790.0,0.07,2045.3168714788053,3399.2752334946736,2045.3168714788053,0.08758377827190136,0.0973665974028419,427.1091329625618,427.1091329625618,303.23075049588476,478.7212110374735,556.687459498415,137.6469003,0.918895700152207,533.7928181580565,0.0,0.0,0.0,3620.112924689868,60.176363366043255,6.384000000000001,9454.680962264953,0.0,2044.0,,,,,S2_smr_dynamic,smr-low/market-high,-96.73817319945796,-776.9817149045537,-1197.6603028972509
SMR merchant baseload,285.0,7980.0,8790.0,0.07,1964.767015401134,3299.8309667321164,1964.767015401134,0.0869237881781084,0.09661517558945598,414.0447473115259,414.0447473115259,292.81533402677803,463.1885412587714,535.5117473965425,142.54498439999998,0.9515940639269406,513.2853922527204,0.0,0.0,0.0,3590.0067095739923,59.674593114111985,6.384000000000001,9352.53487526466,0.0,2044.0,,,,,S1c_smr_merchant_baseload,smr-low/market-high,-89.73642026746334,-746.3804763285749,-1150.490738982301
SMR CfD,300.0,11400.0,12575.0,0.05,155.1738791809479,1342.2934730670906,-2708.5618520436947,0.05084430308072838,0.05677586714843558,487.53035050849905,487.53035050849905,303.7177028089236,519.0637496668879,523.1856257578638,143.68529744399999,0.9112461786149164,286.22920080561784,25557.868693276956,8911.561514663983,0.0,4468.300791015763,74.29694260026272,22.8,5414.909235461137,0.0,2050.0,,,,,S1a_smr_cfd,smr-central/market-low,-4.944143213288582,-39.77642241079538,-72.53990577683928
SMR dynamic (50–100 %),300.0,11400.0,12575.0,0.07,-8383.713434718962,-8281.075708334301,-8383.713434718962,0.0029444313234618037,0.00658728735625743,632.8801045408494,632.8801045408494,443.9296081057195,637.0101295007142,299.6590699889507,139.41702036599997,0.8841769429604261,295.0241930260746,0.0,0.0,0.0,3374.532522039679,56.06747145066132,22.8,1703.9097514351363,0.0,2089.0,,,,,S2_smr_dynamic,smr-central/market-low,385.92715439909773,2984.9122253575806,4601.023179010871
SMR merchant baseload,300.0,11400.0,12575.0,0.07,-8388.207741316166,-8286.151024057392,-8388.207741316166,0.002838904196926934,0.0064785809282717375,600.7328151988361,600.7328151988361,419.2483512843142,604.6111428799492,285.8450767955001,147.76092,0.937093607305936,281.1456854824379,0.0,0.0,0.0,3371.9617346769264,56.024624994615436,22.8,1695.1874371686533,0.0,2089.0,,,,,S1c_smr_merchant_baseload,smr-central/market-low,364.66455363548,2986.499720162939,4603.470185771727
SMR CfD,300.0,11400.0,12575.0,0.05,1790.9570080383094,3276.2700569608596,-1688.9746349082625,0.05884183593745429,0.06496532880995629,491.1928069860144,491.1928069860144,306.1744309866659,530.9662442197339,578.924158680375,143.06429202,0.9073077880517504,525.0747342898186,3352.177502689212,1367.0198204081394,0.0,5207.672715087693,86.61980800146156,22.8,7923.492549276615,0.0,2048.0,,,,,S1a_smr_cfd,smr-central/market-high,-56.89994559679914,-454.68101551643105,-829.1977011770673
SMR dynamic (50–100 %),300.0,11400.0,12575.0,0.07,-2539.72227822507,-1776.0573472598376,-2539.72227822507,0.053365972427679306,0.059114790542237304,630.3056191716788,630.3056191716788,440.88553599415957,660.8239123256021,559.3291521583953,140.494950102,0.8910131285007612,535.4777320072361,0.0,0.0,0.0,5067.282003657036,84.27996281095061,22.8,7447.1669212083125,0.0,2049.0,,,,,S2_smr_dynamic,smr-central/market-high,122.01471177741365,950.2981725853091,1464.8149054074415
SMR merchant baseload,300.0,11400.0,12575.0,0.07,-2504.444872121304,-1734.7063767500665,-2504.444872121304,0.053608133980991506,0.05937618648589776,601.9839004515632,601.9839004515632,419.2483512843142,631.2352637522953,536.0621273408912,147.76092,0.937093607305936,513.3332675758795,0.0,0.0,0.0,5079.274154773082,84.47983199621804,22.8,7487.854576780613,0.0,2049.0,,,,,S1c_smr_merchant_baseload,smr-central/market-high,114.44736053733803,937.3631733883158,1444.8765532440966
SMR CfD,300.0,16500.0,18300.0,0.05,-8137.798917022693,-7566.487275591659,-9818.677806023139,,,782.439696951324,782.439696951324,471.9504426246091,798.9962967212937,563.1630493186123,138.09358457999997,0.8757837682648401,286.55772147395794,28713.3342456382,9548.075604022977,0.0,8963.850413430268,149.16958873833053,66.0,2718.1880004702034,0.0,2064.0,,,,,S1a_smr_cfd,smr-high/market-low,270.7095394962015,2098.6975619043,3827.375972186536
SMR dynamic (50–100 %),300.0,16500.0,18300.0,0.07,-16094.313488544356,-16094.313488544356,-16094.313488544356,,,1024.3433642294176,1024.3433642294176,700.9673370743897,1024.3433642294176,300.7895001132322,133.46562768,0.8464334581430746,296.2551582124941,0.0,0.0,0.0,8162.700265923262,135.81708627988047,66.0,0.0,0.0,,,,,,S2_smr_dynamic,smr-high/market-low,810.9574356922983,6006.9710893768915,9259.30517590356
SMR merchant baseload,300.0,16500.0,18300.0,0.07,-16051.709890627004,-16051.709890627004,-16051.709890627004,,,958.0711290570518,958.0711290570518,653.0725540310586,958.0711290570518,285.73977703212086,143.48052,0.9099474885844749,281.0232860558129,0.0,0.0,0.0,8162.700265923262,135.81708627988047,66.0,0.0,0.0,,,,,,S1c_smr_merchant_baseload,smr-high/market-low,753.7539663749584,5992.712414386909,9237.326474629343
SMR CfD,300.0,16500.0,18300.0,0.05,-7860.47810909468,-7234.013738365574,-9714.784382707463,0.01654076109737242,0.020961155680762008,783.3652499773212,783.3652499773212,472.5470500847009,801.5431249364009,573.458664172244,138.19675212,0.8764380525114155,387.99478421577396,19382.00448632805,6417.344703179142,0.0,9195.532188545592,153.03095165691929,66.0,3504.2511660400437,0.0,2064.0,,,,,S1a_smr_cfd,smr-high/market-central,261.6802667931774,2026.0081850649892,3694.81300580297
SMR dynamic (50–100 %),300.0,16500.0,18300.0,0.07,-13824.56538397496,-13772.377888633546,-13824.56538397496,-0.014971164881031252,-0.011775014278019778,1020.419072517756,1020.419072517756,697.6364743611066,1022.7541229340053,404.19488871261524,134.17250364,0.8509164360730594,399.65474887539284,0.0,0.0,0.0,8502.52064004213,141.4807591818616,66.0,1152.9619836175839,0.0,,,,,,S2_smr_dynamic,smr-high/market-central,702.6903657476106,5229.860076594026,8061.445569814057
SMR merchant baseload,300.0,16500.0,18300.0,0.07,-13744.739884170916,-13688.917427336404,-13744.739884170916,-0.014061747785801187,-0.01083698788923897,958.5684474965175,958.5684474965175,653.0725540310586,960.9065901699541,385.2034649252293,143.48052,0.9099474885844749,380.44672138396237,0.0,0.0,0.0,8518.89673837903,141.75369415414326,66.0,1208.5237458320623,0.0,,,,,,S1c_smr_merchant_baseload,smr-high/market-central,654.2902813826857,5201.927328042128,8018.389287472162
